timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1533726859206,17414,HTTP请求1,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: www.lagou.com,线程组 1-1,text,false,Test failed: text expected to contain /数沃科技/,2591,0,1,1,0,0,17318
1533726876626,2,HTTP请求2,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: www.lagou.com,线程组 1-1,text,false,,2397,0,1,1,0,0,1
